"gene_description"	"abbreviation"	"locus_ref"	"pathway"	"localization"	"additional_temporary_column"	"good"
"1-deoxyxylulose 5-phosphate synthase"	"DXS"	618	"mep"	"IPAP cells"		"y"
"1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic"	"DXS"	1769	"mep"	"IPAP cells"		"y"
"1-deoxyxylulose-5-phosphate synthase"	"DXS"	4973	"mep"	"IPAP cells"		"y"
"Geraniol 10-hydroxylase"	"G10H"	2708	"iridoid"	"IPAP cells"		"y"
"Geranyl pyrophosphate synthase"	"GPPS"	3592	"iridoid"	"IPAP cells"		"y"
"Geranyl diphosphate synthase small subunit"	"GPPS"	11341	"iridoid"	"IPAP cells"		"y"
"GCPE Protein"	"HDS"	1424	"mep"	"Epidermis"	"AY623812 – All zero expression doesn't seem right"	"y"
"Hydroxyl-methyglutaryl-CoA reductase"	"HMGR"	64640	"mevalonate"	"unknown"		"n"
"Hydroxyl-methyglutaryl-CoA synthase"	"HMGS"	96841	"mevalonate"	"unknown"		"n"
"Isochorismate synthase, chloroplastic"	"ICS"	11902	"indole"	"Epidermis"		"y"
"Isochorismate synthase"	"ICS"	19665	"indole"	"Epidermis"		"y"
"Isopentenyl isomerase"	"IDI"	1815	"iridoid"	"Epidermis"		"y"
"Isopentenyl isomerase"	"IDI"	36563	"iridoid"	"Epidermis"		"y"
"Isopentenyl isomerase"	"IDI"	53526	"iridoid"	"Epidermis"		"n"
"Isopentenyl isomerase"	"IDI"	53527	"iridoid"	"Epidermis"		"n"
"Isopentenyl isomerase"	"IDI"	62376	"iridoid"	"Epidermis"		"n"
"Isopentenyl isomerase"	"IDI"	67489	"iridoid"	"Epidermis"		"n"
"Isopentenyl isomerase"	"IDI"	73358	"iridoid"	"Epidermis"		"n"
"Loganic acid methyltransferase"	"LAMT"	2522	"iridoid"	"Epidermis"		"y"
"Minovincinine 19-hydroxy-O-acetyltransferase"	"MAT"	3992	"downstream"	"unknown"		"y"
"Minovincinine 19-hydroxy-O-acetyltransferase"	"MAT"	5019	"downstream"	"unknown"		"y"
"Minovincinine 19-hydroxy-O-acetyltransferase"	"MAT"	24127	"downstream"	"unknown"		"y"
"Monoterpene cyclase"	"MC"	"NA"	"iridoid"	"unknown"		"y"
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic"	"MECS"	7966	"mep"	"unknown"	"EC 2.3.3.10 – All zero expression doesn't seem right"	"y"
"Mevalonate kinase"	"MK"	9873	"mevalonate"	"unknown"		"y"
"16-methoxy-2,3-dihydrotabersonine N-methyltransferase"	"NMT"	131	"downstream"	"MLI cells"		"y"
"16-methoxy-2,3-dihydrotabersonine N-methyltransferase"	"NMT"	1856	"downstream"	"MLI cells"		"y"
"16-hydroxytabersonine O-methyltransferase"	"OMT"	4974	"downstream"	"Epidermis"		"y"
"Cytochrome P450"	"P4501"	605		"unknown"		"y"
"Cytochrome P450"	"P4502"	3243		"unknown"		
"Phosphomevalonate kinase"	"PMK"	6057	"mevalonate"	"unknown"		"y"
"Strictosidine-O-beta-D-glucosidase"	"SGD"	2046	"downstream"	"Epidermis"		"y"
"Secologanin synthase"	"SLS"	1389	"iridoid"	"Epidermis"		"y"
"Secologanin synthase"	"SLS"	10318	"iridoid"	"Epidermis"		"y"
"Secologanin synthase"	"SLS"	17400	"iridoid"	"Epidermis"		"y"
"Strictosidine synthase"	"STR"	2176	"downstream"	"Epidermis"		"y"
"Tabersonine 16-hydroxylase"	"T16H"	579	"downstream"	"Epidermis"		"y"
"Tabersonine 16-hydroxylase"	"T16H"	4336	"downstream"	"Epidermis"		"y"
"Tabersonine 16-hydroxylase"	"T16H"	6184	"downstream"	"Epidermis"		"y"
"Tabersonine 16-hydroxylase"	"T16H"	10777	"downstream"	"Epidermis"		"y"
"Tryptophan decarboxylase"	"TDC"	2474	"indole"	"Epidermis"		"y"
"Aromatic-L-amino-acid decarboxylase"	"TDC"	8420	"indole"	"Epidermis"		"y"
"UDP-glucosyltransferase family 1 protein"	"UGT1"	5739		"unknown"		
